,ZIP,date_start - date_end,Predicted new cases,cases/population * 10000
85,90006,2020/4/9 - 2020/4/12,9.13018,1.47981788
86,90006,2020/4/10 - 2020/4/13,10.556056,1.710923534
87,90006,2020/4/11 - 2020/4/14,14.052036,2.277551345
88,90006,2020/4/12 - 2020/4/15,11.550435,1.872092299
89,90006,2020/4/13 - 2020/4/16,15.399256,2.495908417
90,90006,2020/4/14 - 2020/4/17,12.421786,2.013320741
91,90006,2020/4/15 - 2020/4/18,15.05329,2.439834414
92,90006,2020/4/16 - 2020/4/19,22.973146,3.723483166
93,90006,2020/4/17 - 2020/4/20,23.14566,3.751444196
94,90006,2020/4/18 - 2020/4/21,36.60915,5.933603996
95,90006,2020/4/19 - 2020/4/22,36.267662,5.878255705
96,90006,2020/4/20 - 2020/4/23,43.57433,7.062518943
97,90006,2020/4/21 - 2020/4/24,38.250374,6.199613252
98,90006,2020/4/22 - 2020/4/25,21.171494,3.431471609
99,90006,2020/4/23 - 2020/4/26,19.36401,3.138515002
100,90006,2020/4/24 - 2020/4/27,21.292282,3.451048997
101,90006,2020/4/25 - 2020/4/28,25.442446,4.123706726
102,90006,2020/4/26 - 2020/4/29,18.98009,3.076289213
103,90006,2020/4/27 - 2020/4/30,28.180668,4.567517242
104,90006,2020/4/28 - 2020/5/1,32.638046,5.289968275
105,90006,2020/4/29 - 2020/5/2,35.537598,5.759927008
106,90006,2020/4/30 - 2020/5/3,32.772015,5.31168184
107,90006,2020/5/1 - 2020/5/4,31.928444,5.174956062
108,90006,2020/5/2 - 2020/5/5,40.275085,6.527778121
109,90006,2020/5/3 - 2020/5/6,37.825493,6.130748624
110,90006,2020/5/4 - 2020/5/7,31.123264,5.044452707
111,90006,2020/5/5 - 2020/5/8,36.74272,5.955253259
112,90006,2020/5/6 - 2020/5/9,28.86688,4.678738438
113,90006,2020/5/7 - 2020/5/10,35.96084,5.828525774
114,90006,2020/5/8 - 2020/5/11,30.18794,4.892855619
115,90006,2020/5/9 - 2020/5/12,42.548496,6.896252106
116,90006,2020/5/10 - 2020/5/13,42.308292,6.857319911
117,90006,2020/5/11 - 2020/5/14,41.884655,6.788656844
118,90006,2020/5/12 - 2020/5/15,44.94211,7.284208265
119,90006,2020/5/13 - 2020/5/16,42.766685,6.931616177
120,90006,2020/5/14 - 2020/5/17,33.64141,5.452593411
121,90006,2020/5/15 - 2020/5/18,35.88244,5.815818772
122,90006,2020/5/16 - 2020/5/19,38.018032,6.161955343
123,90006,2020/5/17 - 2020/5/20,64.84763,10.51049197
124,90006,2020/5/18 - 2020/5/21,40.49828,6.563953381
125,90006,2020/5/19 - 2020/5/22,54.35197,8.809356976
126,90006,2020/5/20 - 2020/5/23,45.586647,7.388675003
127,90006,2020/5/21 - 2020/5/24,39.483295,6.399444948
128,90006,2020/5/22 - 2020/5/25,46.922844,7.60524554
129,90006,2020/5/23 - 2020/5/26,56.328197,9.129663438
130,90006,2020/5/24 - 2020/5/27,62.398014,10.11345815
131,90006,2020/5/25 - 2020/5/28,46.561188,7.546628374
132,90006,2020/5/26 - 2020/5/29,47.203293,7.650700646
133,90006,2020/5/27 - 2020/5/30,47.80418,7.748092344
134,90018,2020/3/22 - 2020/3/25,2.0886846,0.39219704
135,90018,2020/3/23 - 2020/3/26,1.8906122,0.355004552
136,90018,2020/3/24 - 2020/3/27,2.7553568,0.517379598
137,90018,2020/3/25 - 2020/3/28,2.895512,0.54369688
138,90018,2020/3/26 - 2020/3/29,2.2236562,0.417540968
139,90018,2020/3/27 - 2020/3/30,0.0856545,0.016083539
140,90018,2020/3/28 - 2020/3/31,0.8955617,0.168161652
141,90018,2020/3/29 - 2020/4/1,2.1597295,0.405537307
142,90018,2020/3/30 - 2020/4/2,0.46671247,0.087635661
143,90018,2020/3/31 - 2020/4/3,1.4993536,0.281537038
144,90018,2020/4/1 - 2020/4/4,2.6581798,0.499132447
145,90018,2020/4/2 - 2020/4/5,3.3413856,0.627419559
146,90018,2020/4/3 - 2020/4/6,3.3269174,0.624702833
147,90018,2020/4/4 - 2020/4/7,2.5374343,0.476459805
148,90018,2020/4/5 - 2020/4/8,2.68966,0.505043577
149,90018,2020/4/6 - 2020/4/9,2.7678285,0.519721433
150,90018,2020/4/7 - 2020/4/10,1.6581879,0.311361699
151,90018,2020/4/8 - 2020/4/11,1.5373147,0.288665062
152,90018,2020/4/9 - 2020/4/12,2.8744636,0.539744547
153,90018,2020/4/10 - 2020/4/13,3.0256264,0.568128741
154,90018,2020/4/11 - 2020/4/14,3.86642,0.726006465
155,90018,2020/4/12 - 2020/4/15,1.506258,0.282833486
156,90018,2020/4/13 - 2020/4/16,2.9795036,0.55946816
157,90018,2020/4/14 - 2020/4/17,3.002728,0.563829049
158,90018,2020/4/15 - 2020/4/18,1.7929702,0.33667008
159,90018,2020/4/16 - 2020/4/19,3.1121626,0.584377833
