FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
31,STUDIO CITY,yes,79519.2708433,136224030.749,STUDIO CITY,67,298.57,4,17.83,2020/05/19,18520174.8320313,29320.2983574221
32,TOLUCA LAKE,yes,22524.6110502,28513065.3315,TOLUCA LAKE,16,183.82,0,0,2020/05/19,3877681.69140625,8304.79947913193
33,ATWATER VILLAGE, ,56592.345854,59804672.252,ATWATER VILLAGE,41,279.56,2,13.64,2020/05/19,8127629.0078125,20878.7015658792
34,HOLLYWOOD HILLS, ,77904.6982152,240652764.106,HOLLYWOOD HILLS,76,258.2,5,16.99,2020/05/19,32707741.9726563,28724.0230525776
35,EAGLE ROCK,yes,61429.2831318,129458088.776,EAGLE ROCK,141,356.16,8,20.21,2020/05/19,17599468.125,22646.0639905595
36,GLASSELL PARK,yes,49989.0443981,86073582.4413,GLASSELL PARK,153,484.12,5,15.82,2020/05/19,11696674.0742188,18425.9234046478
37,BEVERLY CREST,yes,112251.492704,237216906.927,BEVERLY CREST,36,287.43,2,15.97,2020/05/19,32231968.4609375,41379.5865175826
38,PACIFIC PALISADES,yes,139755.642029,433120276.643,PACIFIC PALISADES,45,211.36,3,14.09,2020/05/19,58793777.5078125,51517.7643305691
39,BRENTWOOD,yes,98768.6213114,251510714.06,BRENTWOOD,74,239.06,1,3.23,2020/05/19,34151235.125,36428.0157038704
40,BEL AIR,yes,78225.3502753,189562831.31,BEL AIR,32,379.64,0,0,2020/05/19,25748310.1914063,28844.333711692
41,PALISADES HIGHLANDS, ,77130.1472161,211544860.143,PALISADES HIGHLANDS,3,78,0,0,2020/05/19,28729225.1171875,28437.8797149137
42,MANDEVILLE CANYON, ,75458.4378693,164135345.506,MANDEVILLE CANYON,1,32.01,0,0,2020/05/19,22292330.328125,27839.1152918279
43,HIGHLAND PARK,yes,60026.2644326,81637141.3566,HIGHLAND PARK,145,299.64,1,2.07,2020/05/19,11092208.140625,22134.7189340382
44,HOLLYWOOD,yes,79825.8010653,121806059.967,HOLLYWOOD,231,338.44,5,7.33,2020/05/19,16545381.8242188,29400.1352935727
45,MT. WASHINGTON,yes,42965.6426011,65523928.9661,MT. WASHINGTON,70,289.92,3,12.42,2020/05/19,8900261.84375,15838.318115891
46,SILVERLAKE, ,66382.7373582,106574030.533,SILVERLAKE,154,349.34,10,22.68,2020/05/19,14474850.21875,24466.996136861
47,ELYSIAN VALLEY, ,41584.3559231,35595339.6638,ELYSIAN VALLEY,38,373.61,0,0,2020/05/19,4834150.1796875,15328.8225743818
48,THAI TOWN, ,10625.6825239,6169146.6207,THAI TOWN,25,254.87,0,0,2020/05/19,838016.33203125,3916.39693610216
49,LINCOLN HEIGHTS,yes,59940.4516926,89781645.9125,LINCOLN HEIGHTS,183,561.4,13,39.88,2020/05/19,12189906.0976563,22096.7940712671
50,EL SERENO,yes,55189.3437351,107169905.159,EL SERENO,137,327.69,15,35.88,2020/05/19,14550834.0625,20343.4116924127
51,EAST HOLLYWOOD, ,22836.2130292,30599981.4818,EAST HOLLYWOOD,190,648.75,32,109.26,2020/05/19,4155734.10546875,8416.24889545088
52,LITTLE ARMENIA, ,10443.9032865,6813643.18241,LITTLE ARMENIA,167,2081,28,348.91,2020/05/19,925399.703125,3848.83526423576
53,ECHO PARK, ,30983.2353192,34059171.2109,ECHO PARK,40,280.58,0,0,2020/05/19,4624379.43359375,11425.3228864854
54,MELROSE, ,83856.843302,124909805.855,MELROSE,460,592.05,36,46.33,2020/05/19,16959992.1953125,30874.55115134
55,ELYSIAN PARK, ,28944.4012833,36501652.1697,ELYSIAN PARK,13,227.59,0,0,2020/05/19,4955444.84765625,10667.3744974612
56,TEMPLE-BEAUDRY, ,20920.365554,16542098.0453,TEMPLE-BEAUDRY,237,600.27,10,25.33,2020/05/19,2245783.5546875,7708.10145824367
57,TEMPLE-BEAUDRY, ,29450.8712881,20434838.3179,TEMPLE-BEAUDRY,237,600.27,10,25.33,2020/05/19,2773304.95703125,10843.6429227495
58,WESTWOOD,yes,51016.1811463,102759969.152,WESTWOOD,60,110.89,5,9.24,2020/05/19,13947013.1679688,18791.3301216424
59,HANCOCK PARK, ,36798.8764493,55555881.2479,HANCOCK PARK,71,416.69,2,11.74,2020/05/19,7540979.6015625,13551.4864898991
60,HISTORIC FILIPINOTOWN,yes,21059.7469803,17094713.9821,HISTORIC FILIPINOTOWN,97,699.35,5,36.05,2020/05/19,2320459.609375,7754.16951748894
61,CARTHAY, ,27378.2907801,27757419.1827,CARTHAY,71,494.33,7,48.74,2020/05/19,3767809.19921875,10081.1832234995
62,WILSHIRE CENTER, ,39543.5666349,35959758.5072,WILSHIRE CENTER,181,360.77,14,27.91,2020/05/19,4880897.5703125,14570.0722399986
63,PARK LA BREA, ,16543.8264728,13459436.9155,PARK LA BREA,16,117.82,1,7.36,2020/05/19,1826926.3046875,6094.5264552206
64,UNIVERSITY HILLS,yes,17416.7542576,16184171.7408,UNIVERSITY HILLS,9,262.47,1,29.16,2020/05/19,2196674.1484375,6416.14178955151
65,ANGELINO HEIGHTS, ,11358.901405,5086158.17178,ANGELINO HEIGHTS,13,519.58,0,0,2020/05/19,690342.1171875,4188.87489150768
66,MIRACLE MILE,yes,39099.7104234,33571980.8131,MIRACLE MILE,39,216.85,4,22.24,2020/05/19,4555788.58203125,14393.689293399
67,WESTLAKE,yes,25445.3405571,32261541.284,WESTLAKE,505,850.81,59,99.4,2020/05/19,4377754.76171875,9368.79684368452
68,CHINATOWN,yes,14302.6091352,10914285.258,CHINATOWN,14,174.54,1,12.47,2020/05/19,1481171.08984375,5269.51023146818
69,KOREATOWN,yes,28431.5002987,40187179.5014,KOREATOWN,210,406.24,14,27.08,2020/05/19,5452833.31640625,10465.7745725183
70,CENTURY CITY,yes,24103.1368105,32485123.3554,CENTURY CITY,34,265.79,0,0,2020/05/19,4407599.96875,8878.1080483614
71,SOUTH CARTHAY, ,17877.0707175,14386542.4021,SOUTH CARTHAY,28,264.28,0,0,2020/05/19,1952177.95703125,6582.00225014315
72,COUNTRY CLUB PARK, ,23013.4233451,24759665.6122,COUNTRY CLUB PARK,79,521.35,17,112.19,2020/05/19,3359513.77734375,8474.28042184688
73,MID-CITY, ,29564.321088,30570514.0369,MID-CITY,44,292.75,2,13.31,2020/05/19,4147510.06640625,10880.5950387004
74,CHEVIOT HILLS,yes,33811.6752986,47875339.7759,CHEVIOT HILLS,19,207.17,1,10.9,2020/05/19,6493954.23828125,12455.744785076
75,BEVERLYWOOD, ,32869.6016419,31737507.73,BEVERLYWOOD,34,258.1,0,0,2020/05/19,4305353.84375,12111.9406453307
76,CRESTVIEW, ,21361.741998,21376801.2471,CRESTVIEW,78,686.14,10,87.97,2020/05/19,2900202.54296875,7863.68767074418
77,PICO-UNION,yes,27511.0713724,37208167.7693,PICO-UNION,430,1027.68,45,107.55,2020/05/19,5047611.90625,10129.7659211352
78,LITTLE TOKYO,yes,11664.9527483,6286183.13771,LITTLE TOKYO,11,351.1,1,31.92,2020/05/19,852800.546875,4299.22640097664
79,WEST LOS ANGELES, ,36739.2514519,61773495.3135,WEST LOS ANGELES,66,175.36,3,7.97,2020/05/19,8379144.890625,13525.9176083251
80,VICTORIA PARK, ,15968.962691,11167318.0447,VICTORIA PARK,46,547.68,2,23.81,2020/05/19,1514878.90625,5876.9270176588
81,HARVARD HEIGHTS, ,21243.2545291,21355822.9774,HARVARD HEIGHTS,98,543.39,10,55.45,2020/05/19,2896956.7265625,7815.18668372446
82,LAFAYETTE SQUARE, ,11792.383539,7428376.86412,LAFAYETTE SQUARE,15,329.02,0,0,2020/05/19,1007666.109375,4340.46993215363
83,CADILLAC-CORNING, ,10618.9960704,6620027.05502,CADILLAC-CORNING,26,365.12,0,0,2020/05/19,897991.6953125,3910.14190742481
84,ST ELMO VILLAGE, ,8692.25329963,4200717.42855,ST ELMO VILLAGE,37,807.16,3,65.45,2020/05/19,569820.26953125,3201.49732939436
85,CLOVERDALE/COCHRAN, ,23087.3907268,26344948.7595,CLOVERDALE/COCHRAN,52,357.31,1,6.87,2020/05/19,3573294.46484375,8497.33805979553
86,RANCHO PARK,yes,22366.9193508,23457011.1142,RANCHO PARK,12,182.93,0,0,2020/05/19,3181398.9296875,8235.56435094442
87,FAIRCREST HEIGHTS, ,16543.9996637,13206615.9434,FAIRCREST HEIGHTS,4,111.11,1,27.78,2020/05/19,1791284.7109375,6093.39889883646
88,REYNIER VILLAGE, ,14774.8394437,10005786.6893,REYNIER VILLAGE,10,236.52,0,0,2020/05/19,1357063.06640625,5438.65634399767
89,WEST ADAMS,yes,36691.2665484,41503423.2811,WEST ADAMS,167,604.42,14,50.67,2020/05/19,5628947.875,13493.0753599832
90,WELLINGTON SQUARE, ,13134.62972,8688491.46965,WELLINGTON SQUARE,17,345.88,0,0,2020/05/19,1178387.38671875,4836.59523239766
91,LONGWOOD, ,11185.0853735,7238514.20584,LONGWOOD,17,394.98,0,0,2020/05/19,981739.52734375,4118.04671043093
92,UNIVERSITY PARK, ,29653.7584997,41825677.5331,UNIVERSITY PARK,133,484.41,1,3.64,2020/05/19,5671629.21875,10914.1819931891
93,REGENT SQUARE, ,10436.0640263,5307139.23823,REGENT SQUARE,3,107.91,0,0,2020/05/19,719735.078125,3841.21290162081
94,MAR VISTA,yes,50520.8960629,97600117.1467,MAR VISTA,72,169.53,4,9.42,2020/05/19,13230013.2890625,18600.2588180105
95,ADAMS-NORMANDIE, ,13229.1910681,10427640.4108,ADAMS-NORMANDIE,37,451.11,2,24.38,2020/05/19,1414040.29296875,4869.28484453087
96,PALMS,yes,38707.1219246,49146441.6337,PALMS,171,389.73,19,43.3,2020/05/19,6663597.015625,14246.9659347707
97,CRENSHAW DISTRICT,yes,26051.7293897,33233216.8219,CRENSHAW DISTRICT,64,462.8,2,14.46,2020/05/19,4505926.1796875,9596.04331492536
98,ALSACE, ,19230.0880573,16324695.6721,ALSACE,42,337.48,0,0,2020/05/19,2213707.12109375,7072.85524633774
99,EXPOSITION, ,13735.5176321,9716981.47497,EXPOSITION,6,180.4,0,0,2020/05/19,1317584.32421875,5059.33759650618
100,EXPOSITION PARK, ,39842.9083566,70669196.3877,EXPOSITION PARK,203,451.94,11,24.49,2020/05/19,9580693.14453125,14658.7294712162
101,JEFFERSON PARK, ,14248.7652259,12502475.0563,JEFFERSON PARK,29,359.22,1,12.39,2020/05/19,1695201.26171875,5248.08790588759
102,CENTRAL,yes,32464.8388493,42653277.9786,CENTRAL,241,618.08,9,23.08,2020/05/19,5782235.7265625,11949.5418666592
103,BALDWIN HILLS,yes,54062.3538759,72471319.9307,BALDWIN HILLS,120,385.54,7,22.49,2020/05/19,9824086.30078125,19900.4105363918
104,LEIMERT PARK,yes,28521.7793615,37025259.1124,LEIMERT PARK,46,301.94,2,13.13,2020/05/19,5018034.78515625,10505.4535950099
105,VERNON CENTRAL, ,40253.5070928,63745613.7719,VERNON CENTRAL,387,744.26,7,13.46,2020/05/19,8638355.71484375,14821.3946244036
106,WEST VERNON, ,51127.2388366,70717942.6642,WEST VERNON,343,639.4,13,24.23,2020/05/19,9583048.4140625,18815.4345317636
